id,brand,model,image
45,KIA,K3,https://thenewk3.kiavietnam.com.vn/themes/main/images/form/xe/premium/3.png?v=2
46,KIA,K5,https://www.motortrend.com/uploads/sites/10/2021/08/2022-kia-k5-ex-sedan-angular-front.png
47,KIA,Sonet,https://bizweb.dktcdn.net/thumb/1024x1024/100/366/403/products/kia-sonet-phien-ban-15-gtx-plus-1.png?v=1659499938617
48,KIA,Carnival,https://kiavietnam.com.vn/storage/product/carnival/edit-car-2.png
49,KIA,Morning,https://kiavietnam.com.vn/storage/product/new-morning-logo-moi/logo-moi/kia-moring-2.jpg
50,KIA,Soluto,https://images.summitmedia-digital.com/topgear/images/2019/01/31/2019-kia-soluto-main-1548904168.jpg
51,KIA,Seltos,https://kiavietnam.com.vn/storage/product/seltos/kiaseltos-3.png
52,KIA,Sorento,https://kiahatinh.com/files/product/125/11-01-2021/dauxeo_TvLiyClI.jpg
53,KIA,Sportage,https://media.hatla2eestatic.com/uploads/ncarteraz/37835/big-up_a3647f6571981438fb449fc3ba488499.jpg
54,KIA,Sedona,"https://crdms.images.consumerreports.org/c_lfill,w_470,q_auto,f_auto/prod/cars/chrome/white/2021KIV010016_1280_01"
55,KIA,Cerato,https://kiavietnam.com.vn/storage/kiacerato/ceratogt-main-1680x760-3.png
56,KIA,Forte,"https://crdms.images.consumerreports.org/c_lfill,w_470,q_auto,f_auto/prod/cars/chrome/white/2021KIC110114_1280_01"
57,KIA,Rio,https://muaxegiatot.vn/wp-content/uploads/2020/05/ngoai-that-kia-rio-2020-2021-muaxegiatot-vn.png
58,KIA,Carens,https://dailymuabanxe.net/wp-content/uploads/2022/06/Kia-Carens-Mau-Xam.jpg
59,KIA,Rondo,https://tdrresearch.azureedge.net/photos/chrome/Expanded/White/2016KIC090001/2016KIC09000101.jpg?w=400
60,Mazda,2,https://www.mazda.co.nz/globalassets/_mazdanz/ourrange/mazda2/gen-j/gsx/front-3qu/200jah5gsx15_machinegraym_1.jpg
